iter	RMSE
0	2.141219647
1	2.133737672
2	2.126418504
3	2.118139007
4	2.111450955
5	2.104361081
6	2.097324915
7	2.090317465
8	2.085399194
9	2.081359752
10	2.07600435
11	2.070526453
12	2.06390183
13	2.05623615
14	2.048627274
15	2.042004268
16	2.034585602
17	2.028187801
18	2.022259088
19	2.016467126
20	2.010662612
21	2.006210658
22	2.001198878
23	1.997313312
24	1.992422647
25	1.986245622
26	1.982227729
27	1.976607779
28	1.975174682
29	1.970705044
30	1.965800749
31	1.960836394
32	1.959172329
33	1.953996836
34	1.949529965
35	1.945821039
36	1.942349774
37	1.937802272
38	1.933804894
39	1.929271439
40	1.927628734
41	1.923331348
42	1.919483954
43	1.91547146
44	1.912180615
45	1.908040475
46	1.904384549
47	1.902385347
48	1.899445885
49	1.896113945
50	1.893302165
