iter	Passed	Remaining
0	22	15938
1	46	16294
2	62	14621
3	85	14871
4	109	15244
5	135	15717
6	161	16018
7	184	15925
8	197	15156
9	216	14907
10	236	14811
11	261	14992
12	283	14970
13	309	15143
14	331	15153
15	360	15402
16	395	15905
17	424	16102
18	451	16171
19	478	16269
20	504	16311
21	526	16236
22	553	16302
23	569	16029
24	591	15967
25	616	15992
26	639	15928
27	665	15969
28	673	15574
29	698	15588
30	724	15631
31	750	15670
32	762	15408
33	788	15450
34	816	15513
35	844	15568
36	867	15544
37	892	15552
38	916	15529
39	943	15562
40	962	15476
41	990	15520
42	1018	15566
43	1045	15591
44	1072	15607
45	1096	15592
46	1119	15559
47	1143	15538
48	1170	15546
49	1195	15546
50	1224	15580
