Year,Microorganism,Country,Continent,Beta.lactamase,Group,NG_MAST,log2_azm_mic,log2_cfx_mic,log2_cip_mic,log2_cro_mic,log2_pen_mic,log2_tet_mic,%ESBL,%R,Fully susceptible,N,Non-susceptible,Number of laboratories,3GCREC,3GCRKP,AMINOGLYCOSIDES,AMINOPENICILLINS,AZM,CARBAPENEMS,CEFTAZIDIME,CFX,CIP,CRO,FLUOROQUINOLONES,GENTAMICIN,MACROLIDES,METICILLIN,PEN,PENICILLINS,PIPERACILLIN+TAZOBACTAM,TET,THIRD-GENERATION CEPHALOSPORINS,VANCOMYCIN
1979,NEISSERIA GONORRHOEAE,Thailand,Asia,R,150.0,172,-3.965784285,-5.965784285,-8.965784285,-8.380821784,5.0,-1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1986,NEISSERIA GONORRHOEAE,UK,Europe,R,364.0,6207,-3.411195433,-5.965784285,-8.380821784,-7.965784285,4.584962501,-1.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1989,NEISSERIA GONORRHOEAE,Canada,America,,991.0,919,-1.0,-3.0,-4.965784285,-3.0,4.0,3.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1989,NEISSERIA GONORRHOEAE,UK,Europe,S,151.0,173,-2.395928676,-5.965784285,-8.965784285,-8.380821784,-2.395928676,-2.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1989,NEISSERIA GONORRHOEAE,UK,Europe,S,12.0,12,-4.411195433,-5.965784285,-8.965784285,-7.380821784,-2.0,-1.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1989,NEISSERIA GONORRHOEAE,UK,Europe,S,365.0,6208,-4.965784285,-5.965784285,-8.965784285,-6.965784285,-3.965784285,-3.411195433,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1989,NEISSERIA GONORRHOEAE,Gambia,Africa,S,158.0,179,-3.965784285,-5.965784285,-8.965784285,-8.965784285,-5.442222329,-3.411195433,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1990,NEISSERIA GONORRHOEAE,UK,Europe,S,411.0,8,-3.411195433,-5.965784285,-8.380821784,-8.965784285,-6.380821784,-2.395928676,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1990,NEISSERIA GONORRHOEAE,South_Africa,Africa,R,160.0,181,-2.395928676,-5.442222329,-6.965784285,-5.442222329,5.0,7.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1990,NEISSERIA GONORRHOEAE,Canada,America,S,229.0,3303,-3.0,-6.965784285,-7.965784285,-9.965784285,-4.965784285,-2.0,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
