Year,Microorganism,Country,%R,N,Fully susceptible,%ESBL,Non-susceptible,Number of laboratories,3GCREC,3GCRKP,AMINOGLYCOSIDES,AMINOPENICILLINS,CARBAPENEMS,CEFTAZIDIME,FLUOROQUINOLONES,GENTAMICIN,MACROLIDES,METICILLIN,PENICILLINS,PIPERACILLIN+TAZOBACTAM,THIRD-GENERATION CEPHALOSPORINS,VANCOMYCIN
2013,ESCHERICHIA COLI,Denmark,,121,,73.6,,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Slovakia,,240,,74.6,,14.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,France,,861,,76.5,,51.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Austria,,196,,81.6,,21.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Estonia,,25,,84.0,,6.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Spain,,672,,86.3,,33.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Poland,,113,,87.6,,36.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Netherlands,,111,,88.3,,12.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Latvia,,18,,88.9,,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Ireland,,245,,89.8,,32.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Bulgaria,,66,,90.9,,11.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Croatia,,91,,91.2,,14.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Czech Republic,,387,,91.2,,44.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Slovenia,,107,,91.6,,10.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Portugal,,328,,92.1,,26.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Finland,,263,,93.5,,18.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Italy,,33,,93.9,,3.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Romania,,56,,94.6,,11.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Luxembourg,,22,,95.5,,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Sweden,,382,,97.4,,16.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Hungary,,40,,100.0,,7.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2013,ESCHERICHIA COLI,Lithuania,,33,,100.0,,8.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Iceland,1.1,95,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Netherlands,1.8,3371,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Sweden,0.9,1925,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Lithuania,5.4,331,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Luxembourg,1.7,354,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Denmark,2.4,2403,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Belgium,1.0,1562,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Norway,1.4,2236,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Germany,3.6,3009,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Austria,2.0,2889,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Finland,1.9,2315,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,France,2.9,9000,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Estonia,2.0,255,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Croatia,2.6,874,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,United Kingdom,4.0,4192,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Latvia,6.2,97,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Slovenia,3.8,952,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Czech Republic,3.4,2447,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Ireland,3.0,2112,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Malta,13.5,192,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Poland,3.2,661,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Spain,5.5,5696,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Portugal,6.5,1898,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Romania,6.3,32,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Greece,9.5,1490,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Hungary,15.4,1366,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Italy,10.5,2395,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Bulgaria,8.0,150,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2010,ESCHERICHIA COLI,Cyprus,8.7,138,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Iceland,0.8,120,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Netherlands,2.2,4400,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Sweden,1.4,3915,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
2011,ESCHERICHIA COLI,Lithuania,2.4,378,,,,,0,0,1,0,0,0,1,0,0,0,0,0,1,0
