Microorganism,Antibiotics,Year,Country,N,%R,Fully susceptible,%ESBL,Non-susceptible,Number of laboratories
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Denmark,121,,,73.6,,5.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Slovakia,240,,,74.6,,14.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,France,861,,,76.5,,51.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Austria,196,,,81.6,,21.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Estonia,25,,,84.0,,6.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Spain,672,,,86.3,,33.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Poland,113,,,87.6,,36.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Netherlands,111,,,88.3,,12.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Latvia,18,,,88.9,,5.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Ireland,245,,,89.8,,32.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Bulgaria,66,,,90.9,,11.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Croatia,91,,,91.2,,14.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Czech Republic,387,,,91.2,,44.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Slovenia,107,,,91.6,,10.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Portugal,328,,,92.1,,26.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Finland,263,,,93.5,,18.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Italy,33,,,93.9,,3.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Romania,56,,,94.6,,11.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Luxembourg,22,,,95.5,,5.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Sweden,382,,,97.4,,16.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Hungary,40,,,100.0,,7.0
Escherichia coli,"3GCREC, third-generation cephalosporins",2013,Lithuania,33,,,100.0,,8.0
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Iceland,95,1.1,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Netherlands,3371,1.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Sweden,1925,0.9,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Lithuania,331,5.4,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Luxembourg,354,1.7,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Denmark,2403,2.4,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Belgium,1562,1.0,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Norway,2236,1.4,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Germany,3009,3.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Austria,2889,2.0,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Finland,2315,1.9,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,France,9000,2.9,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Estonia,255,2.0,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Croatia,874,2.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,United Kingdom,4192,4.0,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Latvia,97,6.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Slovenia,952,3.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Czech Republic,2447,3.4,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Ireland,2112,3.0,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Malta,192,13.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Poland,661,3.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Spain,5696,5.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Portugal,1898,6.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Romania,32,6.3,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Greece,1490,9.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Hungary,1366,15.4,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Italy,2395,10.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Bulgaria,150,8.0,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2010,Cyprus,138,8.7,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Iceland,120,0.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Netherlands,4400,2.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Sweden,3915,1.4,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Lithuania,378,2.4,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Luxembourg,353,2.8,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Denmark,2529,3.0,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Belgium,3331,1.4,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Norway,2259,1.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Germany,3631,3.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Austria,3121,2.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Finland,3020,2.5,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,France,8428,2.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Estonia,89,1.1,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Croatia,947,2.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,United Kingdom,5005,3.6,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Latvia,131,9.2,,,,
Escherichia coli,"aminoglycosides, fluoroquinolones, third-generation cephalosporins",2011,Slovenia,1002,4.1,,,,
