Year,Microorganism,Continent,Country,%ESBL,%R,Azithromycin,Beta.lactamase,Cefixime,Ceftriaxone,Ciprofloxacin,Fully susceptible,Group,N,NG_MAST,Non-susceptible,Number of laboratories,Penicillin,Tetracycline,azm_mic,cfx_mic,cip_mic,cro_mic,log2_azm_mic,log2_cfx_mic,log2_cip_mic,log2_cro_mic,log2_pen_mic,log2_tet_mic,pen_mic,tet_mic,3GCREC,3GCRKP,AMINOGLYCOSIDES,AMINOPENICILLINS,AZM,CARBAPENEMS,CEFTAZIDIME,CFX,CIP,CRO,FLUOROQUINOLONES,GENTAMICIN,MACROLIDES,METICILLIN,PEN,PENICILLINS,PIPERACILLIN+TAZOBACTAM,TET,THIRD-GENERATION CEPHALOSPORINS,VANCOMYCIN
1979,NEISSERIA GONORRHOEAE,Asia,Thailand,,,0.064,R,0.016,0.003,0.002,,150.0,,172,,,32,0.5,0.064,0.016,0.002,0.003,-3.965784285,-5.965784285,-8.965784285,-8.380821784,5.0,-1.0,32.0,0.5,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1986,NEISSERIA GONORRHOEAE,Europe,UK,,,0.094,R,0.016,0.004,0.003,,364.0,,6207,,,24,0.5,0.094,0.016,0.003,0.004,-3.411195433,-5.965784285,-8.380821784,-7.965784285,4.584962501,-1.0,24.0,0.5,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1989,NEISSERIA GONORRHOEAE,America,Canada,,,0.5,,0.125,0.125,0.032,,991.0,,919,,,16,8,0.5,0.125,0.032,0.125,-1.0,-3.0,-4.965784285,-3.0,4.0,3.0,16.0,8.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1989,NEISSERIA GONORRHOEAE,Europe,UK,,,0.19,S,0.016,0.003,0.002,,151.0,,173,,,0.19,0.19,0.19,0.016,0.002,0.003,-2.395928676,-5.965784285,-8.965784285,-8.380821784,-2.395928676,-2.395928676,0.19,0.19,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1989,NEISSERIA GONORRHOEAE,Europe,UK,,,0.047,S,0.016,0.006,0.002,,12.0,,12,,,0.25,0.38,0.047,0.016,0.002,0.006,-4.411195433,-5.965784285,-8.965784285,-7.380821784,-2.0,-1.395928676,0.25,0.38,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1989,NEISSERIA GONORRHOEAE,Europe,UK,,,0.032,S,0.016,0.008,0.002,,365.0,,6208,,,0.064,0.094,0.032,0.016,0.002,0.008,-4.965784285,-5.965784285,-8.965784285,-6.965784285,-3.965784285,-3.411195433,0.064,0.094,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1989,NEISSERIA GONORRHOEAE,Africa,Gambia,,,0.064,S,0.016,0.002,0.002,,158.0,,179,,,0.023,0.094,0.064,0.016,0.002,0.002,-3.965784285,-5.965784285,-8.965784285,-8.965784285,-5.442222329,-3.411195433,0.023,0.094,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1990,NEISSERIA GONORRHOEAE,Europe,UK,,,0.094,S,0.016,0.002,0.003,,411.0,,8,,,0.012,0.19,0.094,0.016,0.003,0.002,-3.411195433,-5.965784285,-8.380821784,-8.965784285,-6.380821784,-2.395928676,0.012,0.19,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1990,NEISSERIA GONORRHOEAE,Africa,South_Africa,,,0.19,R,0.023,0.023,0.008,,160.0,,181,,,32,128,0.19,0.023,0.008,0.023,-2.395928676,-5.442222329,-6.965784285,-5.442222329,5.0,7.0,32.0,128.0,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
1990,NEISSERIA GONORRHOEAE,America,Canada,,,0.125,S,<0.016,<0.002,0.004,,229.0,,3303,,,0.032,0.25,0.125,0.008,0.004,0.001,-3.0,-6.965784285,-7.965784285,-9.965784285,-4.965784285,-2.0,0.032,0.25,,,,,1.0,,,1.0,1.0,1.0,,,,,1.0,,,1.0,,
